#TYPE System.Diagnostics.Eventing.Reader.EventLogRecord
"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"Gateway resolution failed on interface {9819BC20-693D-4F54-9CE8-7BFD5AD735CE} for 60.70.80.1 with error: 0x43","4205","0",,"2","3","21","4611686018427387906","53","Microsoft-Windows-NlaSvc","63b530f8-29c9-4880-a5b4-b8179096e7b8","Microsoft-Windows-NlaSvc/Operational","1520","1268","rjaf-PC4429","S-1-5-20","8/16/2015 5:23:17 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-nlasvc%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error",,"Gateway Resolution","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Gateway resolution failed on interface {9819BC20-693D-4F54-9CE8-7BFD5AD735CE} for 60.70.80.1 with error: 0x43","4205","0",,"2","3","21","4611686018427387906","52","Microsoft-Windows-NlaSvc","63b530f8-29c9-4880-a5b4-b8179096e7b8","Microsoft-Windows-NlaSvc/Operational","1520","1268","rjaf-PC4429","S-1-5-20","8/16/2015 5:23:13 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-nlasvc%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error",,"Gateway Resolution","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Gateway resolution failed on interface {9819BC20-693D-4F54-9CE8-7BFD5AD735CE} for 60.70.80.1 with error: 0x43","4205","0",,"2","3","21","4611686018427387906","51","Microsoft-Windows-NlaSvc","63b530f8-29c9-4880-a5b4-b8179096e7b8","Microsoft-Windows-NlaSvc/Operational","1520","1268","rjaf-PC4429","S-1-5-20","8/16/2015 5:23:10 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-nlasvc%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error",,"Gateway Resolution","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Gateway resolution failed on interface {9819BC20-693D-4F54-9CE8-7BFD5AD735CE} for 60.70.80.1 with error: 0x43","4205","0",,"2","3","21","4611686018427387906","50","Microsoft-Windows-NlaSvc","63b530f8-29c9-4880-a5b4-b8179096e7b8","Microsoft-Windows-NlaSvc/Operational","1520","1268","rjaf-PC4429","S-1-5-20","8/16/2015 5:23:07 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-nlasvc%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error",,"Gateway Resolution","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Gateway resolution failed on interface {9819BC20-693D-4F54-9CE8-7BFD5AD735CE} for 60.70.80.1 with error: 0x43","4205","0",,"2","3","21","4611686018427387906","49","Microsoft-Windows-NlaSvc","63b530f8-29c9-4880-a5b4-b8179096e7b8","Microsoft-Windows-NlaSvc/Operational","1520","1268","rjaf-PC4429","S-1-5-20","8/16/2015 5:23:04 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-nlasvc%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error",,"Gateway Resolution","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Gateway resolution failed on interface {9819BC20-693D-4F54-9CE8-7BFD5AD735CE} for 60.70.80.1 with error: 0x43","4205","0",,"2","3","21","4611686018427387906","48","Microsoft-Windows-NlaSvc","63b530f8-29c9-4880-a5b4-b8179096e7b8","Microsoft-Windows-NlaSvc/Operational","1520","1268","rjaf-PC4429","S-1-5-20","8/16/2015 5:23:01 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-nlasvc%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error",,"Gateway Resolution","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Gateway resolution failed on interface {9819BC20-693D-4F54-9CE8-7BFD5AD735CE} for 60.70.80.1 with error: 0x43","4205","0",,"2","3","21","4611686018427387906","47","Microsoft-Windows-NlaSvc","63b530f8-29c9-4880-a5b4-b8179096e7b8","Microsoft-Windows-NlaSvc/Operational","1520","3636","rjaf-PC4429","S-1-5-20","8/16/2015 5:20:27 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-nlasvc%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error",,"Gateway Resolution","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Gateway resolution failed on interface {9819BC20-693D-4F54-9CE8-7BFD5AD735CE} for 60.70.80.1 with error: 0x43","4205","0",,"2","3","21","4611686018427387906","46","Microsoft-Windows-NlaSvc","63b530f8-29c9-4880-a5b4-b8179096e7b8","Microsoft-Windows-NlaSvc/Operational","1520","3636","rjaf-PC4429","S-1-5-20","8/16/2015 5:20:24 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-nlasvc%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error",,"Gateway Resolution","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Gateway resolution failed on interface {9819BC20-693D-4F54-9CE8-7BFD5AD735CE} for 60.70.80.1 with error: 0x43","4205","0",,"2","3","21","4611686018427387906","45","Microsoft-Windows-NlaSvc","63b530f8-29c9-4880-a5b4-b8179096e7b8","Microsoft-Windows-NlaSvc/Operational","1520","3636","rjaf-PC4429","S-1-5-20","8/16/2015 5:20:21 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-nlasvc%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error",,"Gateway Resolution","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Gateway resolution failed on interface {9819BC20-693D-4F54-9CE8-7BFD5AD735CE} for 60.70.80.1 with error: 0x43","4205","0",,"2","3","21","4611686018427387906","44","Microsoft-Windows-NlaSvc","63b530f8-29c9-4880-a5b4-b8179096e7b8","Microsoft-Windows-NlaSvc/Operational","1520","3636","rjaf-PC4429","S-1-5-20","8/16/2015 5:20:18 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-nlasvc%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error",,"Gateway Resolution","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
